year,methane_Tg,CI_lb,CI_ub
2000,2.97647390417531,1.44856260352547,5.5156990278417
2001,2.96511332405454,1.4504575906032,5.45667733924673
2002,2.96405833489869,1.44432408555999,5.48894728528584
2003,2.95433956141101,1.44415725466564,5.45236121309817
2004,2.95185267509331,1.43838210817746,5.46087401973312
2005,2.94507712676593,1.44384004908495,5.44200125922184
2006,2.93587393947054,1.43810799172128,5.41082542252298
2007,2.93381988535653,1.43628571858702,5.4168266454258
2008,2.92719115030823,1.43294364111361,5.39686528508876
2009,2.91829828348542,1.42150414471001,5.38966727104989
2010,2.91171975388072,1.41807622678438,5.3936156012485
2011,2.9067190139367,1.41541960686514,5.36469000264175
2012,2.90119529770298,1.40994230138033,5.36993838387106
2013,2.89858579508848,1.41950071187318,5.33171379373485
2014,2.88634457162844,1.41104577976062,5.35287116452522
2015,2.88274413834083,1.40516067057082,5.36038537569524
2016,2.87775483332379,1.40005871805191,5.3164447677247
2017,2.87383062690365,1.3955512411031,5.31316862777244
2018,2.87623283555684,1.40238740943131,5.31643989167703
2019,2.86568955039957,1.39538962446346,5.3155846600921
2020,2.85830081658461,1.39202952034196,5.27118008253163
2021,2.85542469676199,1.39679798235229,5.29207223361887
2022,2.85022860164458,1.3861008957848,5.27791884362297
2023,2.84911761389179,1.38928163202773,5.25429997354936
2024,2.8540479365264,1.3965409498773,5.29197875402869
